id,parqueo,estado,fecha
49 39 CB 8C,,fallo,16-11-2020 18:53:18
B9 14 5A 8D,2,exito,16-11-2020 18:53:21
69 1E EB 8C,1,exito,16-11-2020 19:17:13
D7 89 AF 19,2,exito,16-11-2020 19:17:33
B9 14 5A 8D,2,exito,16-11-2020 19:17:54
49 39 CB 8C,,fallo,16-11-2020 19:18:21
D7 89 AF 19,1,exito,16-11-2020 19:42:52
49 39 CB 8C,,fallo,16-11-2020 19:43:52
49 39 CB 8C,,fallo,16-11-2020 19:43:57
D7 89 AF 19,2,exito,16-11-2020 19:44:09
D7 89 AF 19,1,exito,16-11-2020 19:51:08
49 39 CB 8C,,fallo,16-11-2020 19:51:57
49 39 CB 8C,,fallo,16-11-2020 19:52:00
69 1E EB 8C,2,exito,16-11-2020 19:52:13
